codigo_cliente,nome_cliente,idade_cliente,email_cliente
44,"Cally Murray",46,lectus@augue.co.uk
45,"Hayden A. Lowe",62,eget.lacus.Mauris@Curabitur.org
46,"Whitney Jacobs",35,neque.Nullam.nisl@loremfringilla.org
47,"Hector Medina",73,tellus.faucibus.leo@magnisdis.net
48,"Vivien Cleveland",28,vitae.aliquet.nec@fringillaDonecfeugiat.net
49,"Ingrid P. Velazquez",67,pede.et@porttitoreros.com
50,"Cathleen Small",81,eu.arcu.Morbi@enim.org
51,"Basia D. Castaneda",67,lobortis.risus.In@metusAenean.edu
52,"Ria D. Rodriguez",20,eget.metus@egestas.co.uk
53,"Zena O. Clemons",58,mollis.Duis@mi.edu
54,"Ashely L. Dejesus",86,vulputate.nisi@bibendumfermentum.edu
55,"Ivan Farmer",40,eu@fringillaporttitor.co.uk
56,"MacKenzie C. Goodman",72,adipiscing.non@anteVivamusnon.ca
57,"Owen Y. Mueller",25,eget.laoreet@Crasloremlorem.net
58,"Fredericka Knox",66,sagittis@aliquetmolestietellus.com
59,"Rinah E. Alston",79,orci@magnis.co.uk
60,"Vladimir F. Blake",78,ipsum@imperdietnon.org
61,"Ashton M. Bauer",36,nibh@eros.com
62,"Holly Z. Bridges",60,sit.amet.massa@etnetus.net
63,"Maxwell Mckinney",100,porta@vulputateeu.edu
64,"Jameson Farmer",42,dis.parturient@elementumsem.co.uk
65,"Nadine E. Melton",57,sed.sem.egestas@malesuadaaugueut.net
66,"Kameko Hardy",85,feugiat@porttitoreros.ca
67,"Lucas F. Byers",46,ut@aliquamerosturpis.edu
68,"Bevis Ellis",69,sit.amet.risus@ante.com
69,"Brendan Campos",36,tellus.justo.sit@Fusce.ca
70,"Hilel Hawkins",98,sed@ac.ca
71,"Aladdin Richards",68,ac.urna@In.net
72,"Karen Stone",22,Donec.sollicitudin.adipiscing@adlitora.co.uk
73,"Astra Burgess",69,malesuada.fames@quamafelis.com
74,"Hanae Q. Harvey",25,aliquet@vehiculaPellentesquetincidunt.edu
75,"Priscilla Reilly",33,per@Morbiquisurna.edu
76,"Autumn T. Wall",49,mollis@porttitor.edu
77,"Idona Y. Powell",55,Praesent@molestiesodales.com
78,"Medge E. Henry",97,faucibus.orci.luctus@euplacerat.net
79,"Wanda Ortega",51,orci.Phasellus.dapibus@ac.com
80,"Kelly L. Clay",31,in.aliquet.lobortis@estNunclaoreet.edu
81,"Violet B. Hendricks",83,In.ornare.sagittis@nectellus.org
82,"Zachary Hood",97,vel.mauris.Integer@anteipsumprimis.net
83,"Griffin U. Glass",64,imperdiet@tristiqueneque.org
84,"Keelie R. Nash",33,sit@aliquet.com
85,"Rae O. Cash",36,Integer@risusNullaeget.co.uk
86,"Camille M. Calderon",25,ultricies.adipiscing@Duissit.org
87,"Oleg Ewing",52,tristique.pharetra@Morbisit.com
88,"Rooney V. Gross",52,vitae@utmolestiein.edu
89,"Denton Powers",46,vitae.aliquam@felis.edu
90,"Aphrodite H. Osborn",82,Nunc.ut@nulla.com
91,"Shea F. Massey",33,Aliquam.adipiscing@quisurnaNunc.ca
92,"Haviva Z. Shaw",48,quis.arcu@aliquet.edu
93,"Nehru X. Gaines",77,nec.luctus.felis@Duis.co.uk
94,"Harrison N. Avila",58,et.eros@penatibusetmagnis.co.uk
95,"Igor Faulkner",80,Proin@Vivamuseuismod.edu
96,"Aladdin Washington",41,sed.dolor.Fusce@augueSed.edu
97,"Fatima Sutton",46,Nunc.mauris.Morbi@quisdiamPellentesque.com
98,"Oleg Rios",43,consequat.purus@tempuseu.co.uk
99,"Lance A. Perry",27,blandit.viverra@eu.com
100,"Ocean F. Farrell",49,elit.elit.fermentum@eu.co.uk
101,"Roanna U. Logan",31,Integer@felisullamcorperviverra.edu
102,"Rudyard F. Gonzales",35,dolor@a.ca
103,"Jade Berger",41,quam.dignissim@et.edu
104,"Clio Santiago",29,a.enim.Suspendisse@Maurisvestibulumneque.com
105,"Edward Dennis",56,dictum.mi@amet.org
